id,medium,publicaties,seed_url,scope_domain,categorie,provincie,regio,stad,mediumthema,contact_trefwoorden,prioriteit,catalogusbron
bdu_nieuwsblad_de_kaap,Nieuwsblad De Kaap,Nieuwsblad De Kaap,https://www.nieuwsbladdekaap.nl,nieuwsbladdekaap.nl,lokale krant,Utrecht,Utrechtse Heuvelrug,Doorn,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/nieuwsblad-de-kaap
bdu_recreatiekrant_veluwe,Recreatiekrant Veluwe,Recreatiekrant Veluwe,https://www.recreatiekrantveluwe.nl,recreatiekrantveluwe.nl,lokale krant,Gelderland,Veluwe,,recreatie en toerisme,,normaal,https://bdumedia.nl/nieuwsmerk/recreatiekrant-veluwe
bdu_regiosport_veenendaal,Regiosport Veenendaal,Regiosport Veenendaal,https://www.regiosportveenendaal.nl,regiosportveenendaal.nl,lokale krant,Utrecht,Gelderse Vallei,Veenendaal,sport,,normaal,https://bdumedia.nl/nieuwsmerk/regiosport-veenendaal
bdu_het_kompas_sliedrecht,Het Kompas Sliedrecht,Het Kompas Sliedrecht,https://www.hetkompassliedrecht.nl/,hetkompassliedrecht.nl,lokale krant,Zuid-Holland,Alblasserwaard,Sliedrecht,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/het-kompas-sliedrecht
bdu_houtens_nieuws,Houtens Nieuws,Houtens Nieuws,https://www.houtensnieuws.nl,houtensnieuws.nl,lokale krant,Utrecht,Kromme Rijnstreek,Houten,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/houtens-nieuws
bdu_leusder_krant,Leusder Krant,Leusder Krant,https://www.leusderkrant.nl,leusderkrant.nl,lokale krant,Utrecht,Eemland,Leusden,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/leusder-krant
bdu_rijn_en_veluwe,Rijn en Veluwe,Rijn en Veluwe,https://www.rijnenveluwe.nl/,rijnenveluwe.nl,lokale krant,Gelderland,Zuidwest-Veluwe,,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/rijn-en-veluwe
bdu_stad_wageningen,Stad Wageningen,Stad Wageningen,https://stadwageningen.nl,stadwageningen.nl,lokale krant,Gelderland,Gelderse Vallei,Wageningen,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/stad-wageningen
bdu_soester_courant,Soester Courant,Soester Courant,https://www.soestercourant.nl,soestercourant.nl,lokale krant,Utrecht,Eemland,Soest,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/soester-courant
bdu_scherpenzeelse_krant,Scherpenzeelse Krant,Scherpenzeelse Krant,https://www.scherpenzeelsekrant.nl,scherpenzeelsekrant.nl,lokale krant,Gelderland,Gelderse Vallei,Scherpenzeel,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/scherpenzeelse-krant
bdu_stad_nijkerk_nl,De Stad Nijkerk,De Stad Nijkerk,https://www.destadnijkerk.nl,destadnijkerk.nl,lokale krant,Gelderland,Gelderse Vallei,Nijkerk,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/stad-nijkerk-nl
bdu_vierklank,Vierklank,Vierklank,https://www.vierklank.nl,vierklank.nl,lokale krant,Utrecht,De Bilt,De Bilt,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/vierklank
bdu_wijks_nieuws,Wijks Nieuws,Wijks Nieuws,https://www.wijksnieuws.nl,wijksnieuws.nl,lokale krant,Utrecht,Kromme Rijnstreek,Wijk bij Duurstede,algemeen nieuws,,normaal,https://bdumedia.nl/nieuwsmerk/wijks-nieuws
rodi_alkmaar,Rodi Alkmaar,Rodi Alkmaar,https://www.rodi.nl/alkmaar/nieuws/insturen,rodi.nl,lokale krant,Noord-Holland,Noord-Kennemerland,Alkmaar,algemeen nieuws,,normaal,https://www.rodimedia.nl/merken/huis-aan-huis-bladen/
rodi_alphen_aan_den_rijn,Rodi Alphen aan den Rijn,Rodi Alphen aan den Rijn,https://www.rodi.nl/alphenaandenrijn/nieuws/insturen,rodi.nl,lokale krant,Zuid-Holland,Groene Hart,Alphen aan den Rijn,algemeen nieuws,,normaal,https://www.rodimedia.nl/merken/huis-aan-huis-bladen/
rodi_amsterdam_nieuw_west,Rodi Amsterdam Nieuw-West,Rodi Amsterdam Nieuw-West,https://www.rodi.nl/amsterdam-nieuw-west/nieuws/insturen,rodi.nl,lokale krant,Noord-Holland,Amsterdam Nieuw-West,Amsterdam,algemeen nieuws,,normaal,https://www.rodimedia.nl/merken/huis-aan-huis-bladen/
